area;concentration_O3;year;less_than_90_percent_measurements
NL01485;42;2015;Y
NL01489;32;2015;Y
NL01493;35;2015;Y
NL01494;41;2015;Y
NL01495;39;2015;Y
NL01496;46;2015;Y
NL10107;46;2015;Y
NL10131;46;2015;Y
NL10133;45;2015;Y
NL10138;48;2015;Y
NL10230;44;2015;Y
NL10235;43;2015;Y
NL10236;42;2015;Y
NL10241;44;2015;Y
NL10247;45;2015;Y
NL10301;50;2015;Y
NL10318;48;2015;Y
NL10404;49;2015;Y
NL10418;42;2015;Y
NL10433;38;2015;Y
NL10437;45;2015;Y
NL10442;45;2015;Y
NL10444;53;2015;Y
NL10446;44;2015;Y
NL10449;;2015;
NL10538;51;2015;Y
NL10550;43;2015;Y
NL10617;;2015;
NL10631;48;2015;Y
NL10633;47;2015;Y
NL10636;;2015;
NL10639;40;2015;Y
NL10641;38;2015;Y
NL10643;44;2015;Y
NL10644;45;2015;Y
NL10722;42;2015;Y
NL10738;48;2015;Y
NL10742;44;2015;Y
NL10807;44;2015;Y
NL10818;50;2015;Y
NL10918;55;2015;Y
NL10929;50;2015;Y
NL10934;52;2015;Y
NL10938;49;2015;Y
NL49003;44;2015;Y
NL49012;41;2015;Y
NL49014;45;2015;Y
NL49564;46;2015;Y
NL01485;39;2016;Y
NL01489;31;2016;Y
NL01493;32;2016;Y
NL01494;37;2016;Y
NL01495;37;2016;Y
NL01496;43;2016;Y
NL10107;42;2016;Y
NL10131;44;2016;Y
NL10133;39;2016;Y
NL10138;46;2016;Y
NL10230;41;2016;Y
NL10235;41;2016;Y
NL10236;41;2016;Y
NL10241;41;2016;Y
NL10247;40;2016;Y
NL10301;48;2016;Y
NL10318;46;2016;Y
NL10404;47;2016;Y
NL10418;40;2016;Y
NL10433;37;2016;Y
NL10437;42;2016;Y
NL10442;42;2016;Y
NL10444;49;2016;Y
NL10446;42;2016;Y
NL10449;;2016;
NL10538;51;2016;Y
NL10550;42;2016;Y
NL10617;45;2016;Y
NL10631;41;2016;Y
NL10633;42;2016;Y
NL10636;16;2016;N
NL10639;37;2016;Y
NL10641;33;2016;Y
NL10643;41;2016;Y
NL10644;42;2016;Y
NL10722;40;2016;Y
NL10738;42;2016;Y
NL10742;41;2016;Y
NL10807;44;2016;Y
NL10818;46;2016;Y
NL10918;51;2016;Y
NL10929;46;2016;Y
NL10934;48;2016;Y
NL10938;48;2016;Y
NL49003;42;2016;Y
NL49012;37;2016;Y
NL49014;42;2016;Y
NL49564;42;2016;Y
NL01485;40;2017;Y
NL01489;33;2017;Y
NL01493;34;2017;Y
